Camera,tube,Depth,Date,Root length
Cam1,103,3864,17/05/2018,0
Cam1,103,3896,17/05/2018,0
Cam1,103,3925,17/05/2018,0
Cam1,103,3956,17/05/2018,0
Cam1,103,3985,17/05/2018,0
Cam1,103,4015,17/05/2018,0
Cam1,103,4046,17/05/2018,0
Cam1,103,4076,17/05/2018,0
Cam1,103,4107,17/05/2018,0
Cam1,103,4137,17/05/2018,0
Cam1,103,4167,17/05/2018,0
Cam1,103,4196,17/05/2018,0
Cam1,103,4228,17/05/2018,0
Cam1,103,4257,17/05/2018,0
Cam1,103,4286,17/05/2018,0
Cam1,103,4315,17/05/2018,0
Cam1,103,4346,17/05/2018,0
Cam1,103,4406,17/05/2018,0
Cam1,103,4435,17/05/2018,0
Cam1,103,4465,17/05/2018,0
Cam1,103,4504,17/05/2018,0
Cam4,104,1014,17/05/2018,928
Cam4,104,1046,17/05/2018,701
Cam4,104,1075,17/05/2018,750
Cam4,104,1106,17/05/2018,1336
Cam4,104,1136,17/05/2018,1590
Cam4,104,1166,17/05/2018,2222
Cam4,104,1197,17/05/2018,1708
Cam4,104,1256,17/05/2018,490
Cam4,104,1285,17/05/2018,335
Cam4,104,1316,17/05/2018,1390
Cam4,104,1345,17/05/2018,2163
Cam4,104,1375,17/05/2018,1757
Cam4,104,1405,17/05/2018,1816
Cam4,104,1436,17/05/2018,1096
Cam4,104,1465,17/05/2018,990
Cam4,104,1495,17/05/2018,1469
Cam4,104,1525,17/05/2018,2569
Cam4,104,1554,17/05/2018,3740
Cam4,104,1585,17/05/2018,4181
Cam4,104,1615,17/05/2018,2550
Cam4,104,1644,17/05/2018,318
Cam4,104,1676,17/05/2018,1681
Cam4,104,1704,17/05/2018,1370
Cam4,104,1737,17/05/2018,1718
Cam4,104,1767,17/05/2018,1097
Cam4,104,1796,17/05/2018,79
Cam4,104,1825,17/05/2018,651
Cam4,104,1854,17/05/2018,2146
Cam4,104,1885,17/05/2018,1480
Cam4,104,1915,17/05/2018,1555
Cam4,104,1947,17/05/2018,1561
Cam4,104,1977,17/05/2018,760
Cam4,104,2036,17/05/2018,1543
Cam4,104,2067,17/05/2018,2513
Cam4,104,2097,17/05/2018,1167
Cam4,104,2125,17/05/2018,1433
Cam4,104,2155,17/05/2018,1120
Cam4,104,2185,17/05/2018,1790
Cam4,104,2215,17/05/2018,1167
Cam4,104,2246,17/05/2018,269
Cam4,104,2277,17/05/2018,220
Cam4,104,2307,17/05/2018,159
Cam4,104,2337,17/05/2018,518
Cam4,104,2364,17/05/2018,410
Cam4,104,2426,17/05/2018,59
Cam4,104,2455,17/05/2018,385
Cam4,104,2486,17/05/2018,1309
Cam4,104,2516,17/05/2018,1326
Cam4,104,2546,17/05/2018,1377
Cam4,104,2576,17/05/2018,1163
Cam4,104,2608,17/05/2018,162
Cam4,104,2638,17/05/2018,0
Cam4,104,2666,17/05/2018,0
Cam4,104,2695,17/05/2018,32
Cam4,104,2726,17/05/2018,0
Cam4,104,2756,17/05/2018,44
Cam4,104,2786,17/05/2018,608
Cam4,104,2816,17/05/2018,104
Cam4,104,2846,17/05/2018,0
Cam4,104,2875,17/05/2018,0
Cam4,104,2905,17/05/2018,0
Cam4,104,2936,17/05/2018,0
Cam4,104,2964,17/05/2018,0
Cam4,104,2995,17/05/2018,0
Cam4,104,3025,17/05/2018,0
Cam4,104,3056,17/05/2018,0
Cam4,104,3084,17/05/2018,0
Cam4,104,3115,17/05/2018,0
Cam4,104,3147,17/05/2018,0
Cam4,104,3174,17/05/2018,36
Cam4,104,3206,17/05/2018,0
Cam4,104,3233,17/05/2018,0
Cam4,104,3265,17/05/2018,26
Cam4,104,3295,17/05/2018,70
Cam4,104,3325,17/05/2018,445
Cam4,104,3354,17/05/2018,277
Cam4,104,3386,17/05/2018,0
Cam4,104,3415,17/05/2018,29
Cam4,104,3446,17/05/2018,0
Cam4,104,3506,17/05/2018,0
Cam4,104,3535,17/05/2018,0
Cam4,104,3565,17/05/2018,0
Cam4,104,3596,17/05/2018,0
